iter	Passed	Remaining
0	146	146133
1	148	74005
2	150	49971
3	152	37855
4	153	30588
5	155	25820
6	157	22378
7	159	19784
8	161	17733
9	162	16072
10	163	14714
11	164	13578
12	165	12597
13	166	11749
14	167	11010
15	168	10359
16	169	9782
17	169	9265
18	170	8801
19	171	8381
20	171	8001
21	172	7655
22	172	7338
23	173	7046
24	173	6777
25	174	6529
26	174	6301
27	175	6089
28	175	5892
29	176	5707
30	177	5534
31	177	5371
32	178	5219
33	178	5075
34	179	4939
35	179	4812
36	180	4694
37	180	4580
38	181	4471
39	182	4368
40	182	4270
41	183	4176
42	183	4086
43	184	4001
44	184	3919
45	185	3841
46	185	3766
47	186	3694
48	186	3625
49	187	3559
50	187	3496
51	188	3436
52	189	3378
53	189	3323
54	190	3270
55	190	3218
56	191	3167
57	192	3119
58	192	3072
59	193	3026
60	193	2982
61	194	2938
62	194	2896
63	195	2856
64	195	2816
65	196	2778
66	196	2741
67	197	2705
68	197	2670
69	198	2636
70	198	2603
71	199	2571
72	200	2540
73	200	2509
74	201	2480
75	201	2451
76	202	2422
77	202	2395
78	203	2369
79	203	2344
80	204	2319
81	205	2295
82	205	2268
83	205	2245
84	206	2222
85	206	2199
86	207	2177
87	208	2155
88	208	2134
89	209	2113
90	209	2093
91	210	2073
92	210	2054
93	211	2035
94	211	2016
95	212	1998
96	212	1980
97	213	1962
98	213	1945
99	214	1928
100	214	1912
101	215	1896
102	215	1880
103	216	1865
104	217	1849
105	217	1834
106	218	1820
107	218	1806
108	219	1793
109	219	1779
110	220	1765
111	220	1751
112	221	1738
113	221	1725
114	222	1712
115	223	1700
116	223	1687
117	224	1675
118	224	1663
119	225	1651
120	225	1639
121	226	1627
122	226	1615
123	227	1605
124	227	1593
125	228	1583
126	228	1571
127	229	1561
128	229	1551
129	230	1541
130	230	1530
131	231	1521
132	231	1511
133	232	1501
134	233	1493
135	235	1496
136	236	1487
137	236	1478
138	237	1468
139	237	1460
140	238	1451
141	238	1441
142	239	1432
143	239	1424
144	240	1416
145	240	1408
146	241	1399
147	241	1391
148	242	1383
149	242	1376
150	243	1368
151	243	1360
152	244	1353
153	244	1345
154	245	1338
155	246	1331
156	246	1324
157	247	1317
158	247	1310
159	248	1303
160	248	1296
161	249	1289
162	249	1283
163	250	1276
164	251	1270
165	251	1264
166	252	1258
167	252	1252
168	253	1246
169	254	1240
170	254	1234
171	255	1228
172	255	1222
173	256	1216
174	256	1210
175	257	1204
176	257	1198
177	258	1192
178	258	1187
179	259	1181
180	259	1176
181	260	1170
182	261	1165
183	261	1161
184	262	1156
185	263	1152
186	264	1148
187	264	1143
188	265	1138
189	265	1133
190	266	1128
191	266	1123
192	267	1118
193	267	1113
194	268	1108
195	269	1104
196	269	1099
197	270	1094
198	270	1089
199	271	1085
200	271	1080
201	272	1075
202	272	1071
203	273	1066
204	273	1062
205	274	1057
206	274	1053
207	275	1049
208	276	1045
209	276	1041
210	277	1036
211	277	1032
212	278	1028
213	279	1024
214	279	1021
215	280	1017
216	280	1013
217	281	1008
218	281	1004
219	282	1000
220	282	996
221	283	993
222	283	989
223	284	985
224	284	981
225	285	977
226	286	974
227	286	970
228	287	966
229	287	963
230	288	959
231	288	956
232	289	952
233	289	949
234	290	945
235	291	942
236	291	938
237	292	935
238	292	931
239	293	928
